Function (File:Line:Name),Calls,Time per Call (s),Total Time (s)
<string>:1:<module>,1,0.000,0.000
parallelism.py:21:with_parallelism,1,0.001,2.957
parallelism.py:27:<listcomp>,1,0.000,0.000
context.py:115:Pool,1,0.000,0.276
<frozen importlib._bootstrap>:1117:__import__,82,0.000,0.048
<frozen importlib._bootstrap>:1090:_calc___package__,51,0.000,0.000
<frozen importlib._bootstrap>:404:parent,82,0.000,0.000
<frozen importlib._bootstrap>:1038:_gcd_import,99,0.000,0.048
<frozen importlib._bootstrap>:968:_sanity_check,99,0.000,0.000
<frozen importlib._bootstrap>:902:_resolve_name,51,0.000,0.000
<frozen importlib._bootstrap>:1022:_find_and_load,99,0.000,0.048
<frozen importlib._bootstrap>:165:__init__,99,0.000,0.000
<frozen importlib._bootstrap>:169:__enter__,99,0.000,0.002
<frozen importlib._bootstrap>:179:_get_module_lock,159,0.000,0.001
<frozen importlib._bootstrap>:71:__init__,41,0.000,0.000
<frozen importlib._bootstrap>:100:acquire,159,0.000,0.001
<frozen importlib._bootstrap>:987:_find_and_load_unlocked,39,0.000,0.047
<frozen importlib._bootstrap>:921:_find_spec,39,0.000,0.013
<frozen importlib._bootstrap>:893:__enter__,146,0.000,0.000
__init__.py:89:find_spec,39,0.000,0.001
<frozen importlib._bootstrap>:897:__exit__,146,0.000,0.000
<frozen importlib._bootstrap>:746:find_spec,39,0.000,0.000
<frozen importlib._bootstrap>:826:find_spec,34,0.000,0.000
frozen importlib._bootstrap_external:1445:find_spec,34,0.000,0.011
frozen importlib._bootstrap_external:1413:_get_spec,34,0.000,0.011
frozen importlib._bootstrap_external:1370:_path_importer_cache,75,0.000,0.000
frozen importlib._bootstrap_external:1550:find_spec,75,0.000,0.011
frozen importlib._bootstrap_external:140:_path_stat,126,0.000,0.006
frozen importlib._bootstrap_external:67:_relax_case,75,0.000,0.000
frozen importlib._bootstrap_external:96:_path_join,297,0.000,0.004
frozen importlib._bootstrap_external:119:<listcomp>,297,0.000,0.001
<frozen importlib._bootstrap>:244:_verbose_message,330,0.000,0.000
frozen importlib._bootstrap_external:159:_path_isfile,26,0.000,0.001
frozen importlib._bootstrap_external:150:_path_is_mode_type,26,0.000,0.001
frozen importlib._bootstrap_external:1545:_get_spec,26,0.000,0.000
frozen importlib._bootstrap_external:1054:__init__,25,0.000,0.000
frozen importlib._bootstrap_external:735:spec_from_file_location,26,0.000,0.000
frozen importlib._bootstrap_external:172:_path_isabs,26,0.000,0.000
<frozen importlib._bootstrap>:357:__init__,39,0.000,0.000
